名前,打率,試合,打席,打数,得点,安打,内安,本塁,打点,三振,四球,敬遠,死球,犠打,盗塁
エルナンデス,0.249,64,256,233,25,58,2,5,26,61,17,0,0,4,1
友永翔太,0.222,12,10,9,2,2,0,0,0,4,0,0,0,1,0
荒木雅博,0.246,93,321,289,25,71,5,1,16,39,15,0,3,14,13
高橋周平,0.251,75,283,255,28,64,4,4,29,84,22,0,4,1,0
藤井淳志,0.216,87,187,167,15,36,6,3,19,45,12,1,0,6,0
阿部寿樹,0.184,25,53,49,2,9,1,1,4,10,2,0,0,1,1
平田良介,0.248,118,494,416,61,103,12,14,73,89,72,1,2,0,4
森野将彦,0.268,68,170,142,14,38,4,1,15,24,26,0,2,0,0
大島洋平,0.292,143,656,599,80,175,28,3,27,69,46,1,6,4,26
石川駿,0,2,6,5,0,0,0,0,0,2,0,0,0,1,0
遠藤一星,0.18,27,71,61,6,11,0,0,3,11,5,0,2,3,1
井領雅貴,0.194,13,31,31,2,6,0,1,1,7,0,0,0,0,0
野本圭,0.163,48,55,49,2,8,1,0,7,13,4,0,0,0,0
木下拓哉,0.278,9,19,18,1,5,0,1,2,6,1,0,0,0,0
三ツ俣大樹,0.125,15,19,16,1,2,0,0,0,4,1,0,0,2,0
松井雅人,0.143,4,7,7,1,1,0,0,0,4,0,0,0,0,0
加藤匠馬,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
桂依央利,0.182,59,164,143,7,26,1,3,11,38,11,2,2,7,0
杉山翔大,0.26,104,311,269,26,70,6,3,27,60,30,1,3,8,1
溝脇隼人,0,6,3,3,1,0,0,0,0,0,0,0,0,0,0
武山真吾,0,15,5,4,1,0,0,0,0,2,1,0,0,0,0
亀澤恭平,0.226,59,137,124,12,28,5,0,5,20,8,0,0,4,5
福田永将,0.267,89,306,270,28,72,6,10,37,42,28,1,6,0,0
松井佑介,0.19,14,21,21,1,4,1,0,0,8,0,0,0,0,0
ナニータ,0.285,92,340,319,32,91,5,8,35,52,15,0,2,0,0
工藤隆人,0.302,74,72,63,12,19,3,0,3,14,4,0,3,2,5
堂上直倫,0.254,131,507,456,38,116,8,6,46,69,27,0,2,20,1
ビシエド,0.274,119,471,416,63,114,8,22,68,68,44,0,8,0,1
近藤弘基,0.186,21,49,43,5,8,0,2,4,13,3,0,1,2,0
赤田龍一郎,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
赤坂和幸,0,7,10,10,0,0,0,0,0,2,0,0,0,0,0
谷哲也,0.207,52,91,82,2,17,1,0,6,16,8,0,0,1,1
