選手名,身長,平均得点,3P成功数,FG成功数,FT成功数,リバウント,アシスト,スティール,ブロック,ターンオーバー,ファール
安藤誓哉,181,10.4,79,241,65,4.5,3,1,0,1.8,1.9
佐藤公威,187,8.5,90,193,24,2.5,0.9,0.6,0.1,1.1,1.8
田口成浩,184,11.5,129,238,84,4.1,1.1,0.9,0.1,1.8,2.5
ジュリアン・マブンガ,203,19.5,153,397,225,8.1,3.5,0.8,0.7,3.3,2.8
五十嵐圭,180,10.5,116,193,108,3.3,3.7,1.1,0.1,1.9,1.9
小野龍猛,197,12.3,113,253,120,3.1,2.4,0.6,0.2,1.5,1.7
ライアン・ロシター,206,17.3,19,441,117,13.3,3.2,1.5,0.8,1.9,2.2
ジェフリー・パーマー,203,15,78,327,167,7.8,1.6,1.1,0.8,1.8,2.8
ニック・ファジーカス,210,27.1,68,616,325,12.7,2.4,0.8,0.8,2.2,1.7
マイケル・パーカー,200,12.6,33,319,87,8.5,1.2,1.7,1.8,0.8,1.8
宇都直輝,190,9.4,9,200,158,4,4.2,1.2,0.2,2,2.3
田中大貴,192,13.2,94,280,114,3.1,2.7,1.5,0.1,1.4,1.4
ダニエル・ミラー,211,13.8,0,344,137,8.5,1.6,1.2,1.6,1.6,2.8
川村卓也,193,13.4,95,273,150,3.1,3.3,0.9,0.1,1.8,2
ロバート・サクレ,213,15,0,181,118,8.8,1.3,0.9,0.7,1.6,2
富樫勇樹,167,13.2,104,267,155,2.4,4,0.8,0,2.2,1.4
金丸晃輔,192,16.7,100,332,139,2,0.7,0.5,0.1,1.1,0.6
アイラ・ブラウン,193,13.7,48,305,123,8.3,2.5,1.3,0.9,1.9,2.3
城宝匡史,183,13.4,88,213,88,2.3,2,0.8,0,2.2,2.2
比江島慎,190,12.9,81,301,80,3.1,3.4,1.2,0.4,1.8,1.8
