町別人口の推移　（各年4月1日現在）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H10.4.1,,,H11.4.1,,,H12.4.1,,,H13.4.1,,,H14.4.1,,,H15.4.1,,,H16.4.1,,,H17.4.1,,,H18.4.1,,,H19.4.1,,,H20.4.1,,,H21.4.1,,,H22.4.1,,,H23.4.1,,,H24.4.1,,,H25.4.1,,,H26.4.1,,,H27.4.1,,,H28.4.1,,,H29.4.1,,
地区名,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,全体,男,女,全体,男,女
市全体,"63,981","32,105","31,876","65,553","32,935","32,618","67,521","33,966","33,555","68,741","34,504","34,237","70,181","35,187","34,994","71,722","35,913","35,809","73,750","36,915","36,835","75,583","37,711","37,872","76,963","38,369","38,594","77,888","38,837","39,051","79,184","39,506","39,678","80,680","40,315","40,365","81,568","40,773","40,795","82,701","41,299","41,402","84,317","42,081","42,236","85,365","42,560","42,805","86,099","42,935","43,164","87,084","43,431","43,653","88,256","44,022","44,234",89202,44446,44756
赤池町,"2,675","1,312","1,363","2,785","1,368","1,417","2,854","1,402","1,452","3,001","1,476","1,525","3,149","1,539","1,610","3,250","1,612","1,638","3,383","1,680","1,703","3,508","1,758","1,750","3,783","1,881","1,902","3,917","1,937","1,980","4,000","1,983","2,017","2,548","1,256","1,292","2,639","1,313","1,326","2,703","1,341","1,362","2,748","1,385","1,363","2,745","1,387","1,358","2,801","1,422","1,379","2,996","1,525","1,471","3,149","1,600","1,549",3257,1653,1604
浅田町,"4,927","2,517","2,410","4,989","2,572","2,417","5,229","2,698","2,531","5,289","2,730","2,559","5,348","2,764","2,584","5,441","2,782","2,659","5,498","2,796","2,702","5,672","2,891","2,781","5,911","3,038","2,873","6,059","3,126","2,933","6,172","3,203","2,969","6,316","3,275","3,041","6,383","3,309","3,074","6,464","3,346","3,118","4,711","2,428","2,283","4,763","2,433","2,330","4,788","2,458","2,330","4,788","2,471","2,317","4,909","2,551","2,358",4993,2588,2405
梅森町,"1,690",826,864,"1,728",845,883,"1,735",847,888,"1,746",849,897,"1,751",862,889,"1,756",859,897,"1,795",877,918,"1,809",880,929,"1,823",886,937,"1,795",864,931,"1,804",872,932,"1,794",874,920,"1,792",872,920,"1,814",886,928,"1,849",904,945,"1,857",900,957,"1,876",899,977,"1,918",916,"1,002","1,981",956,"1,025",2006,977,1029
野方町,342,172,170,344,170,174,345,170,175,338,166,172,326,160,166,327,162,165,326,158,168,313,152,161,309,150,159,308,151,157,328,161,167,325,160,165,327,161,166,341,165,176,346,166,180,335,157,178,341,164,177,342,163,179,342,170,172,345,171,174
蟹甲町,515,256,259,492,249,243,486,244,242,488,246,242,486,244,242,475,237,238,475,232,243,471,226,245,460,219,241,455,217,238,446,218,228,434,212,222,425,211,214,428,211,217,426,210,216,417,203,214,413,201,212,409,201,208,399,191,208,394,185,209
折戸町,"5,363","2,675","2,688","5,503","2,754","2,749","5,578","2,795","2,783","5,702","2,850","2,852","2,087","1,067","1,020","2,148","1,099","1,049","2,155","1,111","1,044","2,249","1,154","1,095","2,329","1,194","1,135","2,403","1,247","1,156","2,447","1,248","1,199","2,438","1,250","1,188","2,475","1,264","1,211","2,528","1,291","1,237","2,630","1,339","1,291","2,713","1,377","1,336","2,766","1,409","1,357","2,789","1,422","1,367","2,816","1,420","1,396",2826,1421,1405
藤枝町,"1,373",683,690,"1,378",686,692,"1,388",688,700,"1,440",712,728,"1,579",789,790,"1,649",826,823,"1,719",864,855,"1,740",876,864,"1,703",861,842,"1,710",866,844,"1,713",870,843,"1,751",881,870,"1,838",916,922,"1,892",948,944,"1,890",949,941,"1,890",944,946,"1,935",966,969,"1,950",970,980,"1,968",979,989,1820,899,921
米野木町,"4,316","2,139","2,177","4,337","2,131","2,206","4,307","2,115","2,192","4,286","2,105","2,181","4,255","2,098","2,157","4,245","2,090","2,155","4,296","2,118","2,178","4,252","2,083","2,169","4,275","2,090","2,185","4,300","2,088","2,212","4,371","2,134","2,237","4,942","2,497","2,445","5,347","2,768","2,579","5,622","2,910","2,712","6,326","3,244","3,082","6,998","3,560","3,438","7,296","3,744","3,552","7,571","3,906","3,665","7,787","3,967","3,820",4012,1922,2090
三本木町,"1,094",681,413,"1,120",702,418,"1,105",696,409,"1,040",640,400,"1,041",646,395,996,605,391,984,589,395,979,589,390,940,559,381,939,558,381,888,512,376,877,503,374,893,519,374,874,510,364,859,490,369,858,487,371,844,466,378,829,463,366,860,497,363,859,500,359
藤島町,"1,652",817,835,"1,644",818,826,"1,623",804,819,"1,622",805,817,"1,611",789,822,"1,635",798,837,"1,635",795,840,"1,596",774,822,"1,583",761,822,"1,569",751,818,"1,533",740,793,"1,526",736,790,"1,534",740,794,"1,552",750,802,"1,576",758,818,"1,575",754,821,"1,598",769,829,"1,589",764,825,"1,600",773,827,1586,760,826
本郷町,737,376,361,724,368,356,723,364,359,691,352,339,700,356,344,706,358,348,720,359,361,704,354,350,699,346,353,711,350,361,711,354,357,721,359,362,700,344,356,702,343,359,707,345,362,708,348,360,707,352,355,717,351,366,701,348,353,683,339,344
岩崎町,"8,733","4,433","4,300","8,729","4,431","4,298","8,767","4,463","4,304","8,760","4,460","4,300","8,888","4,484","4,404","9,242","4,658","4,584","9,729","4,905","4,824","10,119","5,055","5,064","10,531","5,265","5,266","11,104","5,559","5,545","11,401","5,705","5,696","11,661","5,827","5,834","12,010","5,973","6,037","12,299","6,084","6,215","12,726","6,310","6,416","9,277","4,551","4,726","9,277","4,506","4,771","9,294","4,527","4,767","9,364","4,533","4,831",9455,4580,4875
岩藤町,"1,186",584,602,"1,212",591,621,"1,201",590,611,"1,219",598,621,"1,178",575,603,"1,183",572,611,"1,173",570,603,"1,194",579,615,"1,207",586,621,"1,170",567,603,"1,144",548,596,"1,137",547,590,"1,118",536,582,"1,101",525,576,"1,080",513,567,"1,060",505,555,"1,043",506,537,"1,067",508,559,"1,061",511,550,1037,501,536
北新町,"1,046",558,488,"1,057",564,493,"1,057",562,495,"1,036",543,493,"1,042",543,499,"1,036",546,490,"1,010",543,467,991,516,475,"1,006",516,490,"1,013",518,495,978,500,478,980,498,482,974,497,477,965,489,476,973,495,478,959,488,471,926,471,455,945,482,463,915,471,444,916,478,438
南ケ丘,"1,837",887,950,"1,846",883,963,"1,832",882,950,"1,857",894,963,"1,823",877,946,"3,940","1,901","2,039","1,820",877,943,"1,815",874,941,"1,793",865,928,"1,805",864,941,"1,789",847,942,"1,781",846,935,"1,783",850,933,"1,791",853,938,"1,799",859,940,"1,787",860,927,"1,821",880,941,"1,824",877,947,"1,838",882,956,1873,895,978
