mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52365787,23,23101,2021,09,0,0,6631
52365787,23,23101,2021,09,0,1,4760
52365787,23,23101,2021,09,0,2,5592
52365787,23,23101,2021,09,1,0,17512
52365787,23,23101,2021,09,1,1,6284
52365787,23,23101,2021,09,1,2,10705
52365787,23,23101,2021,09,2,0,13885
52365787,23,23101,2021,09,2,1,5776
52365787,23,23101,2021,09,2,2,9001
52365788,23,23101,2021,09,0,0,3296
52365788,23,23101,2021,09,0,1,1085
52365788,23,23101,2021,09,0,2,1664
52365788,23,23101,2021,09,1,0,1252
52365788,23,23101,2021,09,1,1,943
52365788,23,23101,2021,09,1,2,957
52365788,23,23101,2021,09,2,0,1933
52365788,23,23101,2021,09,2,1,991
52365788,23,23101,2021,09,2,2,1193
52365794,23,23101,2021,09,0,0,11042
52365794,23,23101,2021,09,0,1,10920
52365794,23,23101,2021,09,0,2,10851
52365794,23,23101,2021,09,1,0,11608
52365794,23,23101,2021,09,1,1,11710
52365794,23,23101,2021,09,1,2,11675
52365794,23,23101,2021,09,2,0,11419
52365794,23,23101,2021,09,2,1,11447
52365794,23,23101,2021,09,2,2,11400
52365795,23,23101,2021,09,0,0,12424
52365795,23,23101,2021,09,0,1,16315
52365795,23,23101,2021,09,0,2,14672
52365795,23,23101,2021,09,1,0,9824
52365795,23,23101,2021,09,1,1,15359
52365795,23,23101,2021,09,1,2,13017
52365795,23,23101,2021,09,2,0,10691
52365795,23,23101,2021,09,2,1,15677
52365795,23,23101,2021,09,2,2,13569
52365796,23,23101,2021,09,0,0,15639
52365796,23,23101,2021,09,0,1,16285
52365796,23,23101,2021,09,0,2,16086
52365796,23,23101,2021,09,1,0,15046
52365796,23,23101,2021,09,1,1,16727
52365796,23,23101,2021,09,1,2,15941
52365796,23,23101,2021,09,2,0,15244
52365796,23,23101,2021,09,2,1,16580
52365796,23,23101,2021,09,2,2,15989
52365797,23,23101,2021,09,0,0,18443
52365797,23,23101,2021,09,0,1,18630
52365797,23,23101,2021,09,0,2,18688
52365797,23,23101,2021,09,1,0,17274
52365797,23,23101,2021,09,1,1,19759
52365797,23,23101,2021,09,1,2,19105
52365797,23,23101,2021,09,2,0,17663
52365797,23,23101,2021,09,2,1,19383
52365797,23,23101,2021,09,2,2,18966
52365798,23,23101,2021,09,0,0,9503
52365798,23,23101,2021,09,0,1,5086
52365798,23,23101,2021,09,0,2,6761
52365798,23,23101,2021,09,1,0,9331
52365798,23,23101,2021,09,1,1,4934
52365798,23,23101,2021,09,1,2,6887
52365798,23,23101,2021,09,2,0,9388
52365798,23,23101,2021,09,2,1,4985
52365798,23,23101,2021,09,2,2,6845
52366704,23,23101,2021,09,0,0,24247
52366704,23,23101,2021,09,0,1,17591
52366704,23,23101,2021,09,0,2,20983
52366704,23,23101,2021,09,1,0,31610
52366704,23,23101,2021,09,1,1,20318
52366704,23,23101,2021,09,1,2,26380
52366704,23,23101,2021,09,2,0,29156
52366704,23,23101,2021,09,2,1,19409
52366704,23,23101,2021,09,2,2,24581
52366705,23,23101,2021,09,0,0,19516
52366705,23,23101,2021,09,0,1,16482
52366705,23,23101,2021,09,0,2,18397
52366705,23,23101,2021,09,1,0,23290
52366705,23,23101,2021,09,1,1,17116
52366705,23,23101,2021,09,1,2,20257
52366705,23,23101,2021,09,2,0,22032
52366705,23,23101,2021,09,2,1,16905
52366705,23,23101,2021,09,2,2,19637
52366706,23,23101,2021,09,0,0,7122
52366706,23,23101,2021,09,0,1,8492
52366706,23,23101,2021,09,0,2,7844
52366706,23,23101,2021,09,1,0,6262
52366706,23,23101,2021,09,1,1,8771
52366706,23,23101,2021,09,1,2,7509
52366706,23,23101,2021,09,2,0,6549
52366706,23,23101,2021,09,2,1,8678
52366706,23,23101,2021,09,2,2,7621
52366707,23,23101,2021,09,0,0,7273
52366707,23,23101,2021,09,0,1,9716
52366707,23,23101,2021,09,0,2,8718
52366707,23,23101,2021,09,1,0,6160
52366707,23,23101,2021,09,1,1,9144
52366707,23,23101,2021,09,1,2,7808
52366707,23,23101,2021,09,2,0,6531
52366707,23,23101,2021,09,2,1,9335
52366707,23,23101,2021,09,2,2,8111
52366708,23,23101,2021,09,0,0,1084
52366708,23,23101,2021,09,0,1,938
52366708,23,23101,2021,09,0,2,983
52366708,23,23101,2021,09,1,0,2030
52366708,23,23101,2021,09,1,1,681
52366708,23,23101,2021,09,1,2,1197
52366708,23,23101,2021,09,2,0,1715
52366708,23,23101,2021,09,2,1,767
52366708,23,23101,2021,09,2,2,1126
52366715,23,23101,2021,09,0,0,9342
52366715,23,23101,2021,09,0,1,10235
52366715,23,23101,2021,09,0,2,9870
52366715,23,23101,2021,09,1,0,10948
52366715,23,23101,2021,09,1,1,10583
52366715,23,23101,2021,09,1,2,10354
52366715,23,23101,2021,09,2,0,10413
52366715,23,23101,2021,09,2,1,10467
52366715,23,23101,2021,09,2,2,10192
52366716,23,23101,2021,09,0,0,7567
52366716,23,23101,2021,09,0,1,7897
52366716,23,23101,2021,09,0,2,7803
52366716,23,23101,2021,09,1,0,6340
52366716,23,23101,2021,09,1,1,7632
52366716,23,23101,2021,09,1,2,7148
52366716,23,23101,2021,09,2,0,6749
52366716,23,23101,2021,09,2,1,7720
52366716,23,23101,2021,09,2,2,7367
52366717,23,23101,2021,09,0,0,6242
52366717,23,23101,2021,09,0,1,7456
52366717,23,23101,2021,09,0,2,6944
52366717,23,23101,2021,09,1,0,7321
52366717,23,23101,2021,09,1,1,7511
52366717,23,23101,2021,09,1,2,7348
52366717,23,23101,2021,09,2,0,6961
52366717,23,23101,2021,09,2,1,7493
52366717,23,23101,2021,09,2,2,7214
52366727,23,23101,2021,09,0,0,10487
52366727,23,23101,2021,09,0,1,10666
52366727,23,23101,2021,09,0,2,10652
52366727,23,23101,2021,09,1,0,8701
52366727,23,23101,2021,09,1,1,10269
52366727,23,23101,2021,09,1,2,9604
52366727,23,23101,2021,09,2,0,9296
52366727,23,23101,2021,09,2,1,10401
52366727,23,23101,2021,09,2,2,9953
52366728,23,23101,2021,09,0,0,6634
52366728,23,23101,2021,09,0,1,6986
52366728,23,23101,2021,09,0,2,7004
52366728,23,23101,2021,09,1,0,5615
52366728,23,23101,2021,09,1,1,7364
52366728,23,23101,2021,09,1,2,6576
52366728,23,23101,2021,09,2,0,5955
52366728,23,23101,2021,09,2,1,7238
52366728,23,23101,2021,09,2,2,6719
52366703,23,23102,2021,09,0,0,20301
52366703,23,23102,2021,09,0,1,15502
52366703,23,23102,2021,09,0,2,18107
52366703,23,23102,2021,09,1,0,42200
52366703,23,23102,2021,09,1,1,18276
52366703,23,23102,2021,09,1,2,29472
52366703,23,23102,2021,09,2,0,34900
52366703,23,23102,2021,09,2,1,17351
52366703,23,23102,2021,09,2,2,25684
52366713,23,23102,2021,09,0,0,13569
52366713,23,23102,2021,09,0,1,13725
52366713,23,23102,2021,09,0,2,13877
52366713,23,23102,2021,09,1,0,16689
52366713,23,23102,2021,09,1,1,14634
52366713,23,23102,2021,09,1,2,15458
52366713,23,23102,2021,09,2,0,15649
52366713,23,23102,2021,09,2,1,14331
52366713,23,23102,2021,09,2,2,14931
52366714,23,23102,2021,09,0,0,9085
52366714,23,23102,2021,09,0,1,11196
52366714,23,23102,2021,09,0,2,10180
52366714,23,23102,2021,09,1,0,8648
52366714,23,23102,2021,09,1,1,10735
52366714,23,23102,2021,09,1,2,9713
52366714,23,23102,2021,09,2,0,8793
52366714,23,23102,2021,09,2,1,10889
52366714,23,23102,2021,09,2,2,9869
52366724,23,23102,2021,09,0,0,17127
52366724,23,23102,2021,09,0,1,17049
52366724,23,23102,2021,09,0,2,17323
52366724,23,23102,2021,09,1,0,17236
52366724,23,23102,2021,09,1,1,17738
52366724,23,23102,2021,09,1,2,17991
52366724,23,23102,2021,09,2,0,17200
52366724,23,23102,2021,09,2,1,17508
52366724,23,23102,2021,09,2,2,17768
52366725,23,23102,2021,09,0,0,17340
52366725,23,23102,2021,09,0,1,6932
52366725,23,23102,2021,09,0,2,11202
52366725,23,23102,2021,09,1,0,24008
52366725,23,23102,2021,09,1,1,7513
52366725,23,23102,2021,09,1,2,15548
52366725,23,23102,2021,09,2,0,21785
52366725,23,23102,2021,09,2,1,7320
52366725,23,23102,2021,09,2,2,14099
52366726,23,23102,2021,09,0,0,9216
52366726,23,23102,2021,09,0,1,9105
52366726,23,23102,2021,09,0,2,9254
52366726,23,23102,2021,09,1,0,12487
52366726,23,23102,2021,09,1,1,9377
