国,死亡率,出生率
アフガニスタン,7,33
アルバニア,7,12
アルジェリア,5,23
アンゴラ,9,42
アンティグア・バ－ブ－ダ,6,16
アルゼンチン,8,17
アルメニア,10,13
オ－ストラリア,7,13
オ－ストリア,10,10
アゼルバイジャン,7,18
バハマ,6,14
バ－レ－ン,2,15
バングラデシュ,5,19
バルバドス,11,12
ベラル－シ,13,12
ベルギ－,10,11
ベリ－ズ,5,23
ベナン,9,37
ブ－タン,6,18
ボリビア,7,23
ボスニア・ヘルツェゴビナ,11,9
ボツワナ,7,24
ブラジル,6,14
ブルネイ,4,16
ブルガリア,15,9
ブルキナファソ,9,39
ブルンジ,11,42
カボヴェルデ,6,21
カンボジア,6,23
カメル－ン,10,36
カナダ,7,11
中央アフリカ共和国,14,36
チャド,13,43
チリ,6,13
中国,7,12
コロンビア,6,15
コモロ,7,33
コンゴ,7,35
コスタリカ,5,14
コ－トジボワ－ル,12,37
クロアチア,13,9
キュ－バ,8,11
キプロス,7,11
チェコ,11,10
朝鮮民主主義人民共和国,9,14
コンゴ民主共和国,10,42
デンマ－ク,9,10
ジブチ,8,23
ドミニカ共和国,6,20
エクアドル,5,20
エジプト,6,26
エルサルバドル,7,19
赤道ギニア,10,34
エリトリア,7,32
エストニア,12,11
エチオピア,7,32
フィジ－,7,19
フィンランド,10,11
フランス,9,12
ガボン,8,30
ガンビア,8,39
ジョ－ジア,13,13
ドイツ,11,9
ガ－ナ,8,31
ギリシャ,11,8
グレナダ,7,19
グアテマラ,5,25
ギニア,9,36
ギニアビサウ,11,37
ガイアナ,8,21
ハイチ,9,24
ホンジュラス,5,22
ハンガリ－,13,9
アイスランド,6,13
インド,7,19
インドネシア,7,19
イラン,5,17
イラク,5,33
アイルランド,6,14
イスラエル,5,20
イタリア,10,8
ジャマイカ,7,17
日本,11,8
ヨルダン,4,26
カザフスタン,9,21
ケニア,6,31
キリバス,7,28
クウェ－ト,3,16
キルギス,6,25
ラオス,7,24
ラトビア,15,10
レバノン,5,15
レソト,13,28
リベリア,8,34
リビア,5,20
リトアニア,14,11
ルクセンブルク,7,11
マダガスカル,6,33
マラウイ,7,37
マレ－シア,5,17
モルディブ,3,18
マリ,10,43
マルタ,9,10
モ－リタニア,8,34
モ－リシャス,8,11
メキシコ,5,18
ミクロネシア連邦,6,24
モンゴル,6,24
モンテネグロ,10,11
モロッコ,5,20
モザンビ－ク,10,39
ミャンマ－,8,18
ナミビア,7,29
ネパ－ル,6,20
オランダ,9,11
ニュ－ジ－ランド,7,13
ニカラグア,5,20
ニジェ－ル,10,48
ナイジェリア,12,39
ノルウェ－,8,12
オマ－ン,3,19
パキスタン,7,28
パナマ,5,20
パプアニュ－ギニア,7,28
パラグアイ,6,21
ペル－,6,19
フィリピン,7,23
ポ－ランド,10,9
ポルトガル,11,8
カタ－ル,2,10
韓国,6,9
モルドバ,11,10
ル－マニア,13,10
ロシア連邦,13,13
ルワンダ,6,31
セントルシア,8,12
"セントビンセント・グレナ
ディ－ン",7,16
サモア,5,25
サントメ・プリンシペ,7,34
サウジアラビア,4,20
セネガル,6,36
セルビア,13,11
セ－シェル,8,16
シエラレオネ,13,35
シンガポ－ル,5,9
スロバキア,10,10
スロベニア,10,10
ソロモン諸島,5,29
ソマリア,11,43
南アフリカ,10,21
南ス－ダン,11,36
スペイン,9,9
スリランカ,7,15
パレスチナ,3,32
ス－ダン,7,33
スリナム,7,18
スワジランド,10,29
スウェ－デン,9,12
スイス,8,10
シリア,6,21
タジキスタン,5,29
タイ,8,10
"マケドニア旧ユ－ゴスラビ
ア共和国",10,11
東ティモ－ル,6,35
ト－ゴ,9,34
トンガ,6,24
トリニダ－ド・トバゴ,10,14
チュニジア,6,18
トルコ,6,16
トルクメニスタン,7,25
ウガンダ,9,42
ウクライナ,15,11
アラブ首長国連邦,2,10
英国,9,12
タンザニア,7,38
米国,8,13
ウルグアイ,9,14
ウズベキスタン,6,21
バヌアツ,5,26
ベネズエラ,6,19
ベトナム,6,17
イエメン,6,32
ザンビア,8,38
ジンバブエ,8,33
