名前,年齢,試合数,安打,2塁打,3塁打,本塁打,打点,四球,三振,打率,出塁率,盗塁,犠打,犠飛
A,40,81,55,8,1,5,22,28,28,0.248,0.336,3,0,3
B,34,47,3,1,0,0,0,6,7,0.136,0.321,0,0,0
C,21,73,29,5,1,6,14,6,34,0.206,0.238,0,1,0
D,34,52,10,1,0,0,7,4,7,0.175,0.234,0,0,2
E,23,37,13,3,0,0,4,2,11,0.183,0.2,0,2,2
F,22,71,21,4,0,1,9,1,25,0.233,0.258,2,4,0
G,27,66,29,6,0,1,8,8,15,0.254,0.331,0,7,0
H,22,141,155,21,1,56,134,118,128,0.318,0.458,12,0,0
I,20,139,123,22,0,9,48,20,72,0.241,0.273,2,10,3
J,32,86,70,9,1,5,28,26,36,0.263,0.334,0,8,3
K,25,37,32,5,1,1,8,8,24,0.271,0.323,0,4,0
L,27,43,6,0,0,0,2,2,16,0.146,0.186,0,1,0
M,29,138,135,19,2,20,74,29,93,0.272,0.312,2,0,3
N,29,60,52,7,0,15,35,23,73,0.275,0.354,0,0,2
O,29,130,140,30,6,16,54,43,122,0.276,0.345,24,1,3
P,20,74,41,11,0,4,19,16,52,0.232,0.299,0,3,0
Q,25,49,2,1,0,0,2,0,5,0.125,0.125,2,1,0
R,29,130,114,31,0,23,65,60,140,0.243,0.333,10,0,5
S,28,118,88,12,4,2,37,24,65,0.258,0.309,10,9,2
