実験者ID,性別,身長,体重
u001,男,163.9,83.5
u002,男,167.4,65.9
u003,男,173.1,75.2
u004,男,165.0,63.3
u005,男,165.2,78.2
u006,男,178.3,69.7
u007,男,182.6,70.9
u008,男,169.4,61.4
u009,男,168.1,74.7
u010,男,168.5,35.7
u011,男,177.6,57.9
u012,男,175.2,53.7
u013,男,159.0,83.0
u014,男,175.5,74.9
u015,男,170.8,64.6
u016,男,162.1,87.0
u017,男,159.5,74.9
u018,男,169.4,51.5
u019,男,159.9,72.9
u020,男,159.0,52.9
u021,男,157.0,66.6
u022,男,175.4,75.2
u023,男,164.5,80.9
u024,男,166.9,65.7
u025,男,163.4,80.2
u026,男,168.7,86.8
u027,男,177.7,53.8
u028,男,167.3,69.3
u029,男,168.9,58.7
u030,男,170.0,80.0
u031,男,169.9,74.1
u032,男,162.0,51.6
u033,男,169.7,51.0
u034,男,167.9,88.2
u035,男,162.2,74.3
u036,男,157.1,48.4
u037,男,178.9,68.3
u038,男,168.6,77.5
u039,男,162.4,59.9
u040,男,163.2,32.4
u041,男,165.2,71.5
u042,男,173.6,57.8
u043,男,162.5,58.1
u044,男,179.5,90.7
u045,男,177.2,50.6
u046,男,160.7,36.8
u047,男,156.7,86.0
u048,男,167.6,82.3
u049,男,156.7,58.0
u050,男,164.8,69.6
u051,男,170.9,71.8
u052,男,169.5,60.9
u053,男,163.7,64.7
u054,男,160.2,56.5
u055,男,171.3,66.3
u056,男,160.5,77.4
u057,男,158.8,69.1
u058,男,162.7,66.4
u059,男,180.8,59.4
u060,男,162.1,77.4
u061,男,166.6,84.6
u062,男,148.3,69.7
u063,男,164.3,73.9
u064,男,158.6,71.0
u065,男,153.7,57.5
u066,男,168.8,67.8
u067,男,171.4,62.7
u068,男,189.0,74.9
u069,男,165.5,86.5
u070,男,169.7,63.1
u071,男,175.1,61.4
u072,男,169.4,67.3
u073,男,164.7,61.9
u074,男,166.8,78.0
u075,男,168.6,59.0
u076,男,161.4,67.0
u077,男,153.7,66.7
u078,男,159.8,64.5
u079,男,166.4,66.7
u080,男,157.0,70.9
u081,男,172.7,55.5
u082,男,177.8,53.0
u083,男,161.1,79.0
u084,男,171.4,73.3
u085,男,170.6,77.1
u086,男,175.3,76.4
u087,男,161.8,49.4
u088,男,168.1,62.2
u089,男,169.8,72.4
u090,男,172.4,71.8
u091,男,166.5,68.3
u092,男,174.6,65.8
u093,男,165.9,64.6
u094,男,173.4,67.9
u095,男,158.9,76.9
u096,男,171.4,83.5
u097,男,160.8,80.6
u098,男,171.4,69.2
u099,男,174.3,54.9
u100,男,179.6,71.2
u101,女,158.4,95.2
u102,女,154.5,33.2
u103,女,152.9,103.7
u104,女,149.0,43.5
u105,女,148.9,29.4
u106,女,157.9,45.2
u107,女,153.0,52.0
u108,女,149.2,83.1
u109,女,168.1,41.6
u110,女,152.6,53.1
u111,女,157.2,40.6
u112,女,157.3,59.0
u113,女,166.9,67.4
u114,女,144.3,44.6
u115,女,156.7,84.5
u116,女,156.1,51.3
u117,女,153.8,95.0
u118,女,147.7,37.5
u119,女,155.8,73.8
u120,女,145.0,66.5
u121,女,147.4,54.6
u122,女,162.9,80.4
u123,女,157.3,64.9
u124,女,165.9,78.2
u125,女,149.2,58.2
u126,女,169.9,29.2
u127,女,167.2,49.8
u128,女,160.9,70.7
u129,女,149.9,31.5
u130,女,161.4,56.0
u131,女,147.1,39.9
u132,女,164.3,77.4
u133,女,162.3,66.0
u134,女,161.4,50.2
u135,女,144.4,57.3
u136,女,143.5,37.4
u137,女,147.4,67.1
u138,女,159.0,71.3
u139,女,147.1,41.7
u140,女,155.3,52.7
u141,女,155.3,51.3
u142,女,129.7,22.3
u143,女,161.8,52.4
u144,女,150.6,35.8
u145,女,160.2,79.6
u146,女,160.4,84.1
u147,女,153.5,-5.9
u148,女,157.3,57.5
u149,女,151.2,50.1
u150,女,143.7,61.1
u151,女,153.3,65.3
u152,女,152.9,75.9
u153,女,144.3,63.2
u154,女,151.0,38.8
u155,女,148.6,52.0
u156,女,161.2,37.2
u157,女,158.4,49.6
u158,女,155.7,56.7
u159,女,164.6,38.7
u160,女,151.1,52.6
u161,女,153.5,15.4
u162,女,152.4,82.9
u163,女,150.4,16.5
u164,女,164.6,62.7
u165,女,145.5,86.3
u166,女,147.8,59.7
u167,女,159.8,78.0
u168,女,152.7,84.0
u169,女,163.6,53.5
u170,女,155.8,46.7
u171,女,154.1,68.0
u172,女,153.1,24.2
u173,女,157.5,66.0
u174,女,144.0,68.1
u175,女,139.0,41.9
u176,女,154.3,71.3
u177,女,153.9,73.8
u178,女,159.5,60.6
u179,女,158.7,55.8
u180,女,152.9,73.6
u181,女,158.3,90.3
u182,女,149.6,37.9
u183,女,146.2,57.5
u184,女,159.7,65.5
u185,女,154.2,48.3
u186,女,160.7,63.2
u187,女,149.7,74.5
u188,女,149.6,76.4
u189,女,170.0,41.4
u190,女,159.4,42.1
u191,女,162.3,49.7
u192,女,157.4,39.1
u193,女,149.3,53.2
u194,女,162.6,71.0
u195,女,155.9,48.1
u196,女,151.9,57.2
u197,女,153.2,44.0
u198,女,142.5,66.1
u199,女,166.5,46.6
u200,女,163.7,57.2
