年,降水量
1891,1519.9
1892,1653.3
1893,1292.4
1894,1446.8
1895,1736.3
1896,2323.6
1897,1908.8
1898,1703.1
1899,1871.6
1900,1559.5
1901,1439.9
1902,1881
1903,2128.1
1904,2088.8
1905,2115.7
1906,1554
1907,1921.7
1908,1745.8
1909,1676.8
1910,1761.5
1911,1683.3
1912,1357.5
1913,1297.3
1914,1337.2
1915,1791.5
1916,1825.3
1917,1714.5
1918,1791.5
1919,1729.3
1920,1778.9
1921,2024.7
1922,1441.3
1923,1809.9
1924,1261.4
1925,1813.5
1926,1102.1
1927,1176.9
1928,1800.1
1929,1518.9
1930,1426.3
1931,1601.8
1932,1677.7
1933,1318.9
1934,1228.7
1935,1910.7
1936,1514.4
1937,1504.2
1938,1779.1
1939,1311.5
1940,1127
1941,1801.1
1942,1334.4
1943,1168.4
1944,1248.9
1945,2075.4
1946,1525
1947,1087.8
1948,1406.8
1949,1630.5
1950,1776.2
1951,1600.2
1952,1769.1
1953,1715.2
1954,1718.3
1955,1425.7
1956,1665.6
1957,1726.2
1958,1441.9
1959,1904.6
1960,1399
1961,1517.1
1962,1503.6
1963,1278.3
1964,1256.1
1965,1556
1966,1655.6
1967,1602
1968,1414.5
1969,1386.5
1970,1633.5
1971,1877.5
1972,1879.5
1973,1166
1974,1791.5
1975,1607.5
1976,2028.5
1977,1367
1978,1103.5
1979,1526.5
1980,1727
1981,1525
1982,1600.5
1983,1627.5
1984,1105
1985,1589.5
1986,1349.5
1987,1234.5
1988,1589.5
1989,1643.5
1990,1903.5
1991,1990
1992,1413.5
1993,1726.5
1994,1061
1995,1393
1996,1157
1997,1610
1998,1979.5
1999,1628.5
2000,1735.5
2001,1415
2002,1082.5
2003,1905
2004,1947.5
2005,900.5
2006,1611.5
2007,1269.5
2008,1579.5
2009,1755.5
2010,1730
2011,1785.5
2012,1567.5
2013,1463.5
2014,1505.5
2015,1803
2016,1686
