"全国地方公共団体コード","識別値","バス停名","バス停名（カナ）","緯度","経度","備考"
"23230","1","市役所","シヤクショ","35.13220467","137.0394341",""
"23230","2","図書館","トショカン","35.13206576","137.042486",""
"23230","3","浅間下","センゲンシタ","35.13088756","137.0449719",""
"23230","4","笠寺山","カサデラヤマ","35.1268151","137.045638",""
"23230","5","日進駅","ニッシンエキ","35.11869436","137.0480203",""
"23230","6","日進駅南","ニッシンエキミナミ","35.11606939","137.0492031",""
"23230","7","南ヶ丘北","ミナミガオカキタ","35.11402283","137.0434073",""
"23230","8","南ヶ丘南","ミナミガオカミナミ","35.11139985","137.0415455",""
"23230","9","藤塚六丁目","フジツカロクチョウメ","35.11171782","137.036693",""
"23230","10","高松池","タカマツイケ","35.11480604","137.0406254",""
"23230","11","鎌ヶ寿","カマガス","35.12292086","137.0403735",""
"23230","12","藤塚","フジツカ","35.12378324","137.0347574",""
"23230","13","上ノ山","ウエノヤマ","35.12518601","137.0286989",""
"23230","14","浅田区民会館","アサダクミンカイカン","35.12469102","137.0240962",""
"23230","15","平子","ヒラコ","35.12179047","137.0252287",""
"23230","16","箕ノ手北","ミノテキタ","35.11928111","137.0212108","平成29年11月20日追加"
"23230","17","赤池駅南","アカイケエキミナミ","35.12024854","137.0195528",""
"23230","18","赤池駅","アカイケエキ","35.12125081","137.0184716",""
"23230","19","赤池小学校","アカイケショウガッコウ","35.11852804","137.0173548",""
"23230","20","赤池南一丁目","アカイケミナミイッチョウメ","35.11774279","137.0195002",""
"23230","21","箕ノ手西","ミノテニシ","35.11833771","137.0211464","平成29年11月20日追加"
"23230","22","箕ノ手中央","ミノテチュウオウ","35.11296495","137.0255353",""
"23230","23","箕ノ手東","ミノテヒガシ","35.11257175","137.0284422",""
"23230","24","平子南","ヒラコミナミ","35.11587268","137.0303337",""
"23230","25","藤塚南","フジツカミナミ","35.11934911","137.0386541",""
"23230","26","おりど病院","オリドビョウイン","35.12368333","137.0419617",""
"23230","27","市役所東","シヤクショヒガシ","35.13257394","137.0405075",""
"23230","28","日生東山","ニッセイヒガシヤマ","35.12656294","137.049375",""
"23230","29","寺脇","テラワキ","35.12274204","137.0474376",""
"23230","30","東山グランド","ヒガシヤマグランド","35.12287648","137.0527224",""
"23230","31","日東東山","ニットウヒガシヤマ","35.12508704","137.0536037",""
"23230","32","日東東山北","ニットウヒガシヤマキタ","35.12610253","137.0565406",""
"23230","33","橦木北","シュモクキタ","35.12264039","137.0586277",""
"23230","34","栄","サカエ","35.12127765","137.0538668",""
"23230","35","栄","サカエ","35.12121137","137.0526841",""
"23230","36","日進団地","ニッシンダンチ","35.12375906","137.0620802",""
"23230","37","米野木台二丁目","コメノキダイニチョウメ","35.12528096","137.0641678",""
"23230","38","福成","フクナリ","35.1305895","137.0640176",""
"23230","39","宮西","ミヤニシ","35.13667912","137.0601895",""
"23230","40","藤島","フジシマ","35.14024444","137.0569432",""
"23230","41","藤島小万場","フジシマコマンバ","35.14028158","137.055166",""
"23230","42","東中学校","ヒガシチュウガッコウ","35.1343618","137.0547418",""
"23230","43","東部福祉会館北","トウブフクシカイカンキタ","35.13492204","137.0607375",""
"23230","44","本米野木","モトコメノキ","35.13088759","137.0658168",""
"23230","45","米野木駅","コメノキエキ","35.12417474","137.0668041",""
"23230","46","日進団地","ニッシンダンチ","35.12359734","137.0618799",""
"23230","47","橦木北","シュモクキタ","35.12307603","137.0586903",""
"23230","48","日東東山北","ニットウヒガシヤマキタ","35.1260226","137.0575693",""
"23230","49","平子台","ヒラコダイ","35.12867438","137.0565469",""
"23230","50","米野木西","コメノキニシ","35.13178721","137.0560743",""
"23230","51","藤枝","フジエダ","35.13168108","137.049705",""
"23230","52","図書館","トショカン","35.13206138","137.0424346",""
"23230","53","中央福祉センター","チュウオウフクシセンター","35.13304854","137.0418847",""
"23230","54","藤枝","フジエダ","35.13191025","137.0510344",""
"23230","55","米野木西","コメノキニシ","35.1318192","137.0557637",""
"23230","56","米野木","コメノキ","35.13243764","137.0627228",""
"23230","57","米野木東仲","コメノキヒガシナカ","35.13288176","137.0660009",""
"23230","58","丸山","マルヤマ","35.1344665","137.0714572",""
"23230","59","柿ノ木","カキノキ","35.13724828","137.0742247",""
"23230","60","三本木","サンボンギ","35.13976519","137.0787882",""
"23230","61","日進ニュータウン","ニッシンニュータウン","35.14465547","137.077909",""
"23230","62","三本木区民会館","サンボンギクミンカイカン","35.14171027","137.0817095",""
"23230","63","上川田","カミカワダ","35.14434885","137.0850435",""
"23230","64","三ヶ峯","サガミネ","35.1457105","137.0960994",""
"23230","65","名商大","メイショウダイ","35.14747537","137.09398",""
"23230","66","上川田","カミカワダ","35.14332059","137.0837438",""
"23230","67","三本木区民会館","サンボンギクミンカイカン","35.14163434","137.0817977",""
"23230","68","三本木","サンボンギ","35.13964067","137.0788676",""
"23230","69","南山エピック北","ミナミヤマエピックキタ","35.13720589","137.08171",""
"23230","70","南山エピック","ミナミヤマエピック","35.13536652","137.0842551",""
"23230","71","南山エピック南","ミナミヤマエピックミナミ","35.13262993","137.0847131",""
"23230","72","愛知牧場西","アイチボクジョウニシ","35.13080566","137.0827506",""
"23230","73","下五反田","シモゴタンダ","35.13281618","137.0691495",""
"23230","74","米野木東仲","コメノキヒガシナカ","35.13274404","137.0657089",""
"23230","75","東中学校","ヒガシチュウガッコウ","35.13448852","137.0570753",""
"23230","76","本郷","ホンゴウ","35.13343972","137.0459233",""
"23230","77","白山","ハクサン","35.13898586","137.0446197",""
"23230","78","保健センター北","ホケンセンターキタ","35.14004073","137.0409082",""
"23230","79","畔道","アゼミチ","35.13896582","137.0371257",""
"23230","80","北高上","キタコウジョウ","35.13812383","137.0341747",""
"23230","81","南高上","ミナミコウジョウ","35.13680577","137.0269884",""
"23230","82","香久山東","カグヤマヒガシ","35.14165122","137.0310071",""
"23230","83","岩崎台・香久山福祉会館","イワサキダイ・カグヤマフクシカイカン","35.14329213","137.0295574",""
"23230","84","香久山中","カグヤマナカ","35.14322767","137.0278155",""
"23230","85","香久山","カグヤマ","35.1422851","137.0265531",""
"23230","86","南高上","ミナミコウジョウ","35.13724079","137.0269698",""
"23230","87","新田","シンデン","35.13432357","137.0194062",""
"23230","88","日生梅森園前","ニッセイウメモリエンマエ","35.1357403","137.0163278",""
"23230","89","日生梅森園","ニッセイウメモリエン","35.13612724","137.0186995",""
"23230","90","東名古屋病院","ヒガシナゴヤビョウイン","35.13982284","137.0155659",""
"23230","91","梅森","ウメモリ","35.13379779","137.0146894",""
"23230","92","梅森台","ウメモリダイ","35.13636255","137.0108185",""
"23230","93","梅森台中","ウメモリダイナカ","35.13579873","137.0100086",""
