全国地方公共団体コード,識別値,種別,種別小分類,名称,名称_カナ,通称,住所表記,町名,郵便番号,緯度,経度,説明,連絡先名称,電話番号,Webサイト,担当課
23230,CKS001,子育て支援施設,休日急病診療所,休日急病診療所,キュウジツキュウビョウシンリョウジョ,,愛知県日進市蟹甲町中島22(中央福祉センター内),蟹甲町,4700122,35.132795,137.042009,日進市中央福祉センター内にある休日急病診療所です。,休日急病診療所,0561-73-7555,http://www.city.nisshin.lg.jp/kurashi/fukushi/hoken/oshirase/iryo_kikan/8215.html,健康課
23230,CKS002,子育て支援施設,児童館,西部福祉会館,セイブフクシカイカン,,愛知県日進市赤池町下郷222,赤池町,4700126,35.12599221,137.0147748,乳幼児室、学習室があります。,西部福祉会館,052-803-5286,http://www.city.nisshin.lg.jp/department/kenko/fukushikaikan/6/5016.html,子育て支援課
23230,CKS003,子育て支援施設,児童館,北部福祉会館,ホクブフクシカイカン,,愛知県日進市岩崎町大塚1034,岩崎町,4700131,35.14330932,137.0432002,ティーンズスペース、図書コーナー、学習室があります。,北部福祉会館,0561-73-0183,http://www.city.nisshin.lg.jp/department/kenko/fukushikaikan/11/5017.html,子育て支援課
23230,CKS004,子育て支援施設,児童館,東部福祉会館,トウブフクシカイカン,,愛知県日進市米野木町仲田35-23,米野木町,4700111,35.13311228,137.0615677,遊戯室・図書室があります。,東部福祉会館,0561-73-7881,http://www.city.nisshin.lg.jp/department/kenko/fukushikaikan/8/5025.html,子育て支援課
23230,CKS005,子育て支援施設,児童館,南部福祉会館,ナンブフクシカイカン,,愛知県日進市折戸町寺脇123-6,折戸町,4700115,35.1230686,137.0453151,遊戯室・図書室があります。,南部福祉会館,0561-73-8155,http://www.city.nisshin.lg.jp/department/kenko/fukushikaikan/9/5020.html,子育て支援課
23230,CKS006,子育て支援施設,児童館,岩崎台・香久山福祉会館,イワサキダイ・カグヤマフクシカイカン,,愛知県日進市香久山四丁目201-14,香久山,4700134,35.14400373,137.028919,遊戯室・図書室があります。,岩崎台・香久山福祉会館,052-800-6601,http://www.city.nisshin.lg.jp/department/kenko/fukushikaikan/2/5019.html,子育て支援課
23230,CKS007,子育て支援施設,児童館,相野山福祉会館,アイノヤマフクシカイカン,,愛知県日進市北新町二段場920-8,北新町,4700103,35.15638253,137.0573873,遊戯室・図書室があります。,相野山福祉会館,0561-72-8122,http://www.city.nisshin.lg.jp/department/kenko/fukushikaikan/7/5018.html,子育て支援課
23230,CKS008,子育て支援施設,子育て支援拠点,にっしん子育て総合支援センター,ニッシンコソダテソウゴウシエンセンター,,愛知県日進市栄四丁目1002-2,栄,4700113,35.12037816,137.0546242,地域に住む就学前の子どもと保護者を対象とした子育て支援施設です。,にっしん子育て総合支援センター,0561-75-2244,http://www.npo-rin.org/nkosodate/,子育て支援課
23230,CKS009,子育て支援施設,子育て支援拠点,子育て支援センター（日東保育園内）,コソダテシエンセンター（ニットウホイクエンナイ）,,愛知県日進市藤島町寺下乙29,藤島町,4700102,35.13920733,137.0480547,地域に住む就学前の子どもと保護者を対象とした子育て支援施設です。,子育て支援センター（日東保育園内）,0561-72-0459,http://www.nitto-hoikuen.com/contents/kosodate2.html,子育て支援課
23230,CKS010,子育て支援施設,子育て支援拠点,子育て支援センター（名古屋学芸大学子どもケアセンター内）,コソダテシエンセンター（ナゴヤガクゲイダイガクコドモケアセンターナイ）,,愛知県日進市岩崎町竹ノ山57,岩崎町,4700196,35.158123,137.038797,地域に住む就学前の子どもと保護者を対象とした子育て支援施設です。,子育て支援センター（名古屋学芸大学子どもケアセンター内）,0561-75-2225,https://www.nuas.ac.jp/ccc/,子育て支援課
