年齢,合計,男,女,赤池町,赤池町(男),赤池町(女),浅田町,浅田町(男),浅田町(女),梅森町,梅森町(男),梅森町(女),野方町,野方町(男),野方町(女),蟹甲町,蟹甲町(男),蟹甲町(女),折戸町,折戸町(男),折戸町(女),藤枝町,藤枝町(男),藤枝町(女),米野木町,米野木町(男),米野木町(女),三本木町,三本木町(男),三本木町(女),藤島町,藤島町(男),藤島町(女),本郷町,本郷町(男),本郷町(女),岩崎町,岩崎町(男),岩崎町(女),岩藤町,岩藤町(男),岩藤町(女),北新町,北新町(男),北新町(女),南ケ丘,南ケ丘(男),南ケ丘(女),五色園,五色園(男),五色園(女),梅森台,梅森台(男),梅森台(女),東山,東山(男),東山(女),香久山,香久山(男),香久山(女),赤池,赤池(男),赤池(女),岩崎台,岩崎台(男),岩崎台(女),栄,栄(男),栄(女),藤塚,藤塚(男),藤塚(女),赤池南,赤池南(男),赤池南(女),浅田平子,浅田平子(男),浅田平子(女),竹の山,竹の山(男),竹の山(女),米野木台,米野木台（男）,米野木台（女）
0,863,453,410,73,38,35,44,23,21,24,16,8,5,1,4,2,0,2,26,20,6,10,6,4,21,10,11,3,3,0,5,2,3,0,0,0,71,31,40,7,2,5,5,4,1,15,8,7,11,4,7,27,8,19,38,22,16,45,22,23,52,33,19,56,33,23,70,33,37,51,26,25,31,17,14,28,14,14,59,29,30,84,48,36
1,961,500,461,77,39,38,47,25,22,34,21,13,1,1,0,1,1,0,23,15,8,18,13,5,24,10,14,5,1,4,8,3,5,3,3,0,89,46,43,8,3,5,7,3,4,11,6,5,26,17,9,35,19,16,30,16,14,54,26,28,59,30,29,49,24,25,71,27,44,68,33,35,33,16,17,29,13,16,69,43,26,82,46,36
2,1015,526,489,72,30,42,44,19,25,30,19,11,2,0,2,2,2,0,33,17,16,15,4,11,29,16,13,6,1,5,12,6,6,4,3,1,115,58,57,9,5,4,8,6,2,11,7,4,33,23,10,30,11,19,32,21,11,50,15,35,50,26,24,70,39,31,72,40,32,57,35,22,35,21,14,27,17,10,71,37,34,96,48,48
3,991,501,490,78,37,41,45,22,23,33,17,16,1,1,0,3,2,1,34,17,17,15,6,9,26,10,16,4,1,3,13,7,6,4,3,1,112,55,57,8,5,3,7,3,4,19,7,12,29,15,14,27,14,13,41,19,22,43,26,17,46,28,18,62,32,30,67,34,33,68,36,32,28,12,16,28,15,13,69,38,31,81,39,42
4,1072,557,515,79,43,36,50,28,22,32,20,12,4,2,2,1,1,0,28,11,17,17,10,7,31,15,16,8,5,3,12,5,7,5,3,2,132,67,65,7,4,3,4,2,2,13,7,6,35,17,18,32,18,14,46,27,19,65,32,33,48,27,21,73,36,37,65,35,30,66,33,33,28,12,16,20,14,6,64,35,29,107,48,59
5,1054,540,514,87,46,41,50,20,30,39,21,18,1,1,0,2,1,1,32,16,16,23,13,10,21,11,10,5,1,4,14,7,7,2,1,1,132,69,63,3,2,1,8,4,4,22,13,9,32,20,12,31,17,14,45,23,22,42,19,23,36,22,14,63,28,35,76,36,40,65,39,26,31,14,17,23,12,11,75,39,36,94,45,49
6,1043,559,484,71,36,35,50,29,21,23,14,9,5,2,3,1,1,0,34,21,13,11,5,6,27,17,10,2,0,2,22,15,7,2,1,1,124,60,64,9,4,5,5,3,2,22,12,10,40,25,15,22,10,12,43,31,12,50,22,28,48,25,23,64,32,32,71,39,32,57,22,35,27,15,12,32,16,16,67,34,33,114,68,46
7,1009,494,515,63,31,32,49,24,25,17,9,8,3,2,1,2,1,1,36,20,16,23,12,11,21,12,9,8,5,3,12,4,8,4,1,3,129,62,67,8,5,3,6,6,0,24,18,6,33,18,15,29,18,11,44,20,24,48,21,27,54,29,25,63,28,35,64,31,33,52,23,29,25,9,16,18,8,10,72,33,39,102,44,58
8,1115,558,557,67,30,37,55,28,27,21,7,14,6,3,3,2,2,0,43,20,23,18,8,10,49,24,25,1,1,0,21,9,12,4,1,3,130,66,64,7,4,3,7,6,1,16,5,11,41,19,22,28,12,16,42,23,19,54,29,25,43,24,19,67,33,34,62,33,29,63,31,32,37,16,21,25,12,13,94,44,50,112,68,44
9,1054,529,525,63,35,28,69,34,35,19,8,11,2,1,1,2,1,1,42,19,23,16,9,7,34,15,19,8,4,4,15,7,8,3,1,2,130,63,67,11,5,6,6,5,1,24,15,9,33,23,10,22,13,9,39,18,21,46,27,19,42,19,23,76,33,43,59,25,34,55,31,24,32,15,17,25,10,15,98,53,45,83,40,43
