"日進市の町別人口及び世帯数				",,,,
"平成30年1月1日現在				",,,,
"				",,,,
町名,男,女,総数,世帯数
赤池町,1693,1647,3340,1315
浅田町,2593,2431,5024,2086
梅森町,1017,1034,2051,876
野方町,171,173,344,143
蟹甲町,171,200,371,152
折戸町,1404,1381,2785,1073
藤枝町,898,924,1822,698
米野木町,1929,2091,4020,1655
三本木町,525,363,888,477
藤島町,766,829,1595,614
本郷町,337,347,684,283
岩崎町,4658,4930,9588,3831
岩藤町,496,534,1030,415
北新町,473,437,910,423
南ケ丘,898,974,1872,738
五色園,1940,2063,4003,1570
梅森台,1388,1386,2774,1212
東山,1881,2029,3910,1559
香久山,3351,3520,6871,2604
赤池,2087,1972,4059,1818
岩崎台,3051,3091,6142,2323
栄,3791,3919,7710,2883
藤塚,2610,2637,5247,2051
赤池南,973,992,1965,724
浅田平子,1183,1015,2198,998
竹の山,2128,2129,4257,1666
米野木台,2318,2034,4352,1883
合計,44730,45082,89812,36070
